case,suite,network_name,bounds_label,neurons_label,plot_label,runtime_ms,memory_delta_kb,containment_pass,containment_ratio,sample_point_containment_ratio,avg_bound_width,avg_sample_width,avg_tightness_ratio,polygon_area,sample_hull_area,polygon_over_hull_area_ratio,min_slack,avg_slack,sample_metric_outputs,bounded_directions,checked_directions
NN1_Neurons01_BoxIBP,neuron_variation,NN1,B2.vnnlib,"(0, 0) & (0, 1)","NN1
(0, 0) & (0, 1)",241.997,256,True,1.0,1.0,1.903719,1.874832,0.985181,2.0,1.984863,1.007626,0.0,0.014444,5,16,16
NN1_Neurons23_BoxIBP,neuron_variation,NN1,B2.vnnlib,"(0, 2) & (0, 3)","NN1
(0, 2) & (0, 3)",207.806,0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,16,16
NN1_Output01_BoxIBP,neuron_variation,NN1,B2.vnnlib,"(1, 0) & (1, 1)","NN1
(1, 0) & (1, 1)",202.302,0,True,1.0,1.0,4.808222,3.592557,0.757861,14.339896,7.949205,1.803941,0.0,0.607832,5,16,16
IR11_1_Neurons01_BoxIBP,neuron_variation,IR11_1,B2.vnnlib,"(0, 0) & (0, 1)","IR11_1
(0, 0) & (0, 1)",0.874,0,True,1.0,1.0,1.903719,1.839466,0.967222,2.0,1.939461,1.031214,0.0,0.032127,2,16,16
IR11_1_Neurons23_BoxIBP,neuron_variation,IR11_1,B2.vnnlib,"(0, 2) & (0, 3)","IR11_1
(0, 2) & (0, 3)",0.858,0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,16,16
IR11_1_Output01_BoxIBP,neuron_variation,IR11_1,B2.vnnlib,"(1, 0) & (1, 1)","IR11_1
(1, 0) & (1, 1)",0.784,0,True,1.0,1.0,1.18953,0.817786,0.689706,0.860488,0.347676,2.474973,0.0,0.185872,2,16,16
IR11_2_Hidden01_BoxIBP,neuron_variation,IR11_2,"[0,1]^n","(1, 0) & (1, 1)","IR11_2
(1, 0) & (1, 1)",10.461,0,True,1.0,1.0,95.438119,11.241817,0.118713,5642.37187,62.759288,89.90497,0.0,42.098151,3,16,16
IR11_2_Hidden23_BoxIBP,neuron_variation,IR11_2,"[0,1]^n","(1, 2) & (1, 3)","IR11_2
(1, 2) & (1, 3)",8.733,0,True,1.0,1.0,103.929546,18.612242,0.177939,6624.598064,187.831455,35.268843,0.0,42.658652,3,16,16
IR11_2_FirstLayer01_BoxIBP,neuron_variation,IR11_2,"[0,1]^n","(0, 0) & (0, 1)","IR11_2
(0, 0) & (0, 1)",11.68,0,True,1.0,1.0,1.269146,1.222785,0.964526,1.0,0.976495,1.02407,0.000103,0.023181,3,16,16
