case,suite,network_name,bounds_label,neurons_label,pair_group,plot_label,runtime_ms,memory_delta_kb,containment_pass,containment_ratio,sample_point_containment_ratio,avg_bound_width,avg_sample_width,avg_tightness_ratio,polygon_area,sample_hull_area,polygon_over_hull_area_ratio,min_slack,avg_slack,sample_metric_outputs,bounded_directions,checked_directions
NN1_Neurons01_BoxIBP,neuron_variation_b2,NN1,B2.vnnlib,"(0, 0) & (0, 1)",same_layer,"NN1
(0, 0) & (0, 1)",152.911,15396,True,1.0,1.0,1.903719,1.851272,0.973548,2.0,1.97084,1.014796,0.0,0.026224,5,16,16
NN1_Neurons23_BoxIBP,neuron_variation_b2,NN1,B2.vnnlib,"(0, 2) & (0, 3)",same_layer,"NN1
(0, 2) & (0, 3)",143.882,0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,16,16
NN1_Output01_BoxIBP,neuron_variation_b2,NN1,B2.vnnlib,"(1, 0) & (1, 1)",same_layer,"NN1
(1, 0) & (1, 1)",170.833,0,True,1.0,1.0,4.808222,3.473792,0.732743,14.339896,7.861937,1.823965,0.0,0.667215,5,16,16
NN1_CrossLayer00_BoxIBP,neuron_variation_b2,NN1,B2.vnnlib,"(0, 0) & (1, 0)",cross_layer,"NN1
(0, 0) & (1, 0)",148.314,0,True,1.0,1.0,3.1116,2.704532,0.876799,3.903454,3.18128,1.227007,0.0,0.203534,5,16,16
NN1_CrossLayer11_BoxIBP,neuron_variation_b2,NN1,B2.vnnlib,"(0, 1) & (1, 1)",cross_layer,"NN1
(0, 1) & (1, 1)",150.452,0,True,1.0,1.0,3.600342,2.947334,0.826557,7.347286,4.826126,1.522398,0.0,0.326504,5,16,16
IR11_1_Neurons01_BoxIBP,neuron_variation_b2,IR11_1,B2.vnnlib,"(0, 0) & (0, 1)",same_layer,"IR11_1
(0, 0) & (0, 1)",0.597,0,True,1.0,1.0,1.903719,1.866755,0.981516,2.0,1.968054,1.016232,0.0,0.018482,2,16,16
IR11_1_Neurons23_BoxIBP,neuron_variation_b2,IR11_1,B2.vnnlib,"(0, 2) & (0, 3)",same_layer,"IR11_1
(0, 2) & (0, 3)",0.63,0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,16,16
IR11_1_Output01_BoxIBP,neuron_variation_b2,IR11_1,B2.vnnlib,"(1, 0) & (1, 1)",same_layer,"IR11_1
(1, 0) & (1, 1)",0.514,0,True,1.0,1.0,1.18953,0.792572,0.661105,0.860488,0.286924,2.999007,0.0,0.198479,2,16,16
IR11_1_CrossLayer00_BoxIBP,neuron_variation_b2,IR11_1,B2.vnnlib,"(0, 0) & (1, 0)",cross_layer,"IR11_1
(0, 0) & (1, 0)",0.662,0,True,1.0,1.0,1.314432,1.039463,0.799145,1.071364,0.556757,1.924294,0.0,0.137485,2,16,16
IR11_1_CrossLayer11_BoxIBP,neuron_variation_b2,IR11_1,B2.vnnlib,"(0, 1) & (1, 1)",cross_layer,"IR11_1
(0, 1) & (1, 1)",0.577,0,True,1.0,1.0,1.778817,1.506809,0.834908,1.606341,0.700849,2.291993,0.0,0.136004,2,16,16
IR11_2_Hidden01_BoxIBP,neuron_variation_b2,IR11_2,B2-repeat,"(1, 0) & (1, 1)",same_layer,"IR11_2
(1, 0) & (1, 1)",8.125,0,True,1.0,1.0,169.221773,42.964706,0.256368,17538.886169,1261.222644,13.906257,0.0,63.128534,3,16,16
IR11_2_Hidden23_BoxIBP,neuron_variation_b2,IR11_2,B2-repeat,"(1, 2) & (1, 3)",same_layer,"IR11_2
(1, 2) & (1, 3)",6.073,0,True,1.0,1.0,104.977167,8.386289,0.078832,6760.569404,18.747205,360.617464,0.0,48.295439,3,16,16
IR11_2_FirstLayer01_BoxIBP,neuron_variation_b2,IR11_2,B2-repeat,"(0, 0) & (0, 1)",same_layer,"IR11_2
(0, 0) & (0, 1)",8.34,0,True,1.0,1.0,1.903719,1.855987,0.975604,2.0,1.967632,1.01645,0.0,0.023866,3,16,16
IR11_2_CrossLayer00_BoxIBP,neuron_variation_b2,IR11_2,B2-repeat,"(0, 0) & (1, 0)",cross_layer,"IR11_2
(0, 0) & (1, 0)",6.807,0,True,1.0,1.0,75.427645,22.467293,0.342238,117.863608,33.238128,3.546036,0.0,26.480176,3,16,16
IR11_2_CrossLayer11_BoxIBP,neuron_variation_b2,IR11_2,B2-repeat,"(0, 1) & (1, 1)",cross_layer,"IR11_2
(0, 1) & (1, 1)",6.555,0,True,1.0,1.0,95.697847,31.045086,0.36542,297.613314,84.265832,3.531839,0.001378,32.32638,3,16,16
